app_name,app_size,app_lambdas,app_ec_lambdas,app_nec_lambdas,app_lambda_groups,app_method_count,app_total_lambda_size,app_total_ec_lambda_size,app_total_nec_lambda_size,app_total_lambda_group_size,app_merged_lambdas,app_lg_size,app_lg_lambdas,app_lg_ec_lambdas,app_lg_nec_lambdas,app_lg_lambda_groups,app_lg_method_count,app_lg_total_lambda_size,app_lg_total_ec_lambda_size,app_lg_total_nec_lambda_size,app_lg_total_lambda_group_size,app_lg_merged_lambdas,app_shrink_size,app_shrink_lambdas,app_shrink_ec_lambdas,app_shrink_nec_lambdas,app_shrink_lambda_groups,app_shrink_method_count,app_shrink_total_lambda_size,app_shrink_total_ec_lambda_size,app_shrink_total_nec_lambda_size,app_shrink_total_lambda_group_size,app_shrink_merged_lambdas,app_obfuscate_size,app_obfuscate_lambdas,app_obfuscate_ec_lambdas,app_obfuscate_nec_lambdas,app_obfuscate_lambda_groups,app_obfuscate_method_count,app_obfuscate_total_lambda_size,app_obfuscate_total_ec_lambda_size,app_obfuscate_total_nec_lambda_size,app_obfuscate_total_lambda_group_size,app_obfuscate_merged_lambdas,app_shrink_lg_size,app_shrink_lg_lambdas,app_shrink_lg_ec_lambdas,app_shrink_lg_nec_lambdas,app_shrink_lg_lambda_groups,app_shrink_lg_method_count,app_shrink_lg_total_lambda_size,app_shrink_lg_total_ec_lambda_size,app_shrink_lg_total_nec_lambda_size,app_shrink_lg_total_lambda_group_size,app_shrink_lg_merged_lambdas,app_lg_obfuscate_size,app_lg_obfuscate_lambdas,app_lg_obfuscate_ec_lambdas,app_lg_obfuscate_nec_lambdas,app_lg_obfuscate_lambda_groups,app_lg_obfuscate_method_count,app_lg_obfuscate_total_lambda_size,app_lg_obfuscate_total_ec_lambda_size,app_lg_obfuscate_total_nec_lambda_size,app_lg_obfuscate_total_lambda_group_size,app_lg_obfuscate_merged_lambdas,app_shrink_optimize_size,app_shrink_optimize_lambdas,app_shrink_optimize_ec_lambdas,app_shrink_optimize_nec_lambdas,app_shrink_optimize_lambda_groups,app_shrink_optimize_method_count,app_shrink_optimize_total_lambda_size,app_shrink_optimize_total_ec_lambda_size,app_shrink_optimize_total_nec_lambda_size,app_shrink_optimize_total_lambda_group_size,app_shrink_optimize_merged_lambdas,app_shrink_obfuscate_size,app_shrink_obfuscate_lambdas,app_shrink_obfuscate_ec_lambdas,app_shrink_obfuscate_nec_lambdas,app_shrink_obfuscate_lambda_groups,app_shrink_obfuscate_method_count,app_shrink_obfuscate_total_lambda_size,app_shrink_obfuscate_total_ec_lambda_size,app_shrink_obfuscate_total_nec_lambda_size,app_shrink_obfuscate_total_lambda_group_size,app_shrink_obfuscate_merged_lambdas,app_shrink_lg_optimize_size,app_shrink_lg_optimize_lambdas,app_shrink_lg_optimize_ec_lambdas,app_shrink_lg_optimize_nec_lambdas,app_shrink_lg_optimize_lambda_groups,app_shrink_lg_optimize_method_count,app_shrink_lg_optimize_total_lambda_size,app_shrink_lg_optimize_total_ec_lambda_size,app_shrink_lg_optimize_total_nec_lambda_size,app_shrink_lg_optimize_total_lambda_group_size,app_shrink_lg_optimize_merged_lambdas,app_shrink_optimize_lg_size,app_shrink_optimize_lg_lambdas,app_shrink_optimize_lg_ec_lambdas,app_shrink_optimize_lg_nec_lambdas,app_shrink_optimize_lg_lambda_groups,app_shrink_optimize_lg_method_count,app_shrink_optimize_lg_total_lambda_size,app_shrink_optimize_lg_total_ec_lambda_size,app_shrink_optimize_lg_total_nec_lambda_size,app_shrink_optimize_lg_total_lambda_group_size,app_shrink_optimize_lg_merged_lambdas,app_shrink_lg_obfuscate_size,app_shrink_lg_obfuscate_lambdas,app_shrink_lg_obfuscate_ec_lambdas,app_shrink_lg_obfuscate_nec_lambdas,app_shrink_lg_obfuscate_lambda_groups,app_shrink_lg_obfuscate_method_count,app_shrink_lg_obfuscate_total_lambda_size,app_shrink_lg_obfuscate_total_ec_lambda_size,app_shrink_lg_obfuscate_total_nec_lambda_size,app_shrink_lg_obfuscate_total_lambda_group_size,app_shrink_lg_obfuscate_merged_lambdas,app_shrink_optimize_obfuscate_size,app_shrink_optimize_obfuscate_lambdas,app_shrink_optimize_obfuscate_ec_lambdas,app_shrink_optimize_obfuscate_nec_lambdas,app_shrink_optimize_obfuscate_lambda_groups,app_shrink_optimize_obfuscate_method_count,app_shrink_optimize_obfuscate_total_lambda_size,app_shrink_optimize_obfuscate_total_ec_lambda_size,app_shrink_optimize_obfuscate_total_nec_lambda_size,app_shrink_optimize_obfuscate_total_lambda_group_size,app_shrink_optimize_obfuscate_merged_lambdas,app_shrink_lg_optimize_obfuscate_size,app_shrink_lg_optimize_obfuscate_lambdas,app_shrink_lg_optimize_obfuscate_ec_lambdas,app_shrink_lg_optimize_obfuscate_nec_lambdas,app_shrink_lg_optimize_obfuscate_lambda_groups,app_shrink_lg_optimize_obfuscate_method_count,app_shrink_lg_optimize_obfuscate_total_lambda_size,app_shrink_lg_optimize_obfuscate_total_ec_lambda_size,app_shrink_lg_optimize_obfuscate_total_nec_lambda_size,app_shrink_lg_optimize_obfuscate_total_lambda_group_size,app_shrink_lg_optimize_obfuscate_merged_lambdas,app_shrink_optimize_lg_obfuscate_size,app_shrink_optimize_lg_obfuscate_lambdas,app_shrink_optimize_lg_obfuscate_ec_lambdas,app_shrink_optimize_lg_obfuscate_nec_lambdas,app_shrink_optimize_lg_obfuscate_lambda_groups,app_shrink_optimize_lg_obfuscate_method_count,app_shrink_optimize_lg_obfuscate_total_lambda_size,app_shrink_optimize_lg_obfuscate_total_ec_lambda_size,app_shrink_optimize_lg_obfuscate_total_nec_lambda_size,app_shrink_optimize_lg_obfuscate_total_lambda_group_size,app_shrink_optimize_lg_obfuscate_merged_lambdas,r8_app_shrink_dir_size,r8_app_shrink_dir_lambdas,r8_app_shrink_dir_ec_lambdas,r8_app_shrink_dir_nec_lambdas,r8_app_shrink_dir_lambda_groups,r8_app_shrink_dir_method_count,r8_app_shrink_dir_total_lambda_size,r8_app_shrink_dir_total_ec_lambda_size,r8_app_shrink_dir_total_nec_lambda_size,r8_app_shrink_dir_total_lambda_group_size,r8_app_shrink_dir_merged_lambdas,r8_app_shrink_size,r8_app_shrink_lambdas,r8_app_shrink_ec_lambdas,r8_app_shrink_nec_lambdas,r8_app_shrink_lambda_groups,r8_app_shrink_method_count,r8_app_shrink_total_lambda_size,r8_app_shrink_total_ec_lambda_size,r8_app_shrink_total_nec_lambda_size,r8_app_shrink_total_lambda_group_size,r8_app_shrink_merged_lambdas,r8_app_obfuscate_dir_size,r8_app_obfuscate_dir_lambdas,r8_app_obfuscate_dir_ec_lambdas,r8_app_obfuscate_dir_nec_lambdas,r8_app_obfuscate_dir_lambda_groups,r8_app_obfuscate_dir_method_count,r8_app_obfuscate_dir_total_lambda_size,r8_app_obfuscate_dir_total_ec_lambda_size,r8_app_obfuscate_dir_total_nec_lambda_size,r8_app_obfuscate_dir_total_lambda_group_size,r8_app_obfuscate_dir_merged_lambdas,r8_app_obfuscate_size,r8_app_obfuscate_lambdas,r8_app_obfuscate_ec_lambdas,r8_app_obfuscate_nec_lambdas,r8_app_obfuscate_lambda_groups,r8_app_obfuscate_method_count,r8_app_obfuscate_total_lambda_size,r8_app_obfuscate_total_ec_lambda_size,r8_app_obfuscate_total_nec_lambda_size,r8_app_obfuscate_total_lambda_group_size,r8_app_obfuscate_merged_lambdas,r8_app_shrink_optimize_dir_size,r8_app_shrink_optimize_dir_lambdas,r8_app_shrink_optimize_dir_ec_lambdas,r8_app_shrink_optimize_dir_nec_lambdas,r8_app_shrink_optimize_dir_lambda_groups,r8_app_shrink_optimize_dir_method_count,r8_app_shrink_optimize_dir_total_lambda_size,r8_app_shrink_optimize_dir_total_ec_lambda_size,r8_app_shrink_optimize_dir_total_nec_lambda_size,r8_app_shrink_optimize_dir_total_lambda_group_size,r8_app_shrink_optimize_dir_merged_lambdas,r8_app_shrink_optimize_size,r8_app_shrink_optimize_lambdas,r8_app_shrink_optimize_ec_lambdas,r8_app_shrink_optimize_nec_lambdas,r8_app_shrink_optimize_lambda_groups,r8_app_shrink_optimize_method_count,r8_app_shrink_optimize_total_lambda_size,r8_app_shrink_optimize_total_ec_lambda_size,r8_app_shrink_optimize_total_nec_lambda_size,r8_app_shrink_optimize_total_lambda_group_size,r8_app_shrink_optimize_merged_lambdas,r8_app_shrink_obfuscate_dir_size,r8_app_shrink_obfuscate_dir_lambdas,r8_app_shrink_obfuscate_dir_ec_lambdas,r8_app_shrink_obfuscate_dir_nec_lambdas,r8_app_shrink_obfuscate_dir_lambda_groups,r8_app_shrink_obfuscate_dir_method_count,r8_app_shrink_obfuscate_dir_total_lambda_size,r8_app_shrink_obfuscate_dir_total_ec_lambda_size,r8_app_shrink_obfuscate_dir_total_nec_lambda_size,r8_app_shrink_obfuscate_dir_total_lambda_group_size,r8_app_shrink_obfuscate_dir_merged_lambdas,r8_app_shrink_obfuscate_size,r8_app_shrink_obfuscate_lambdas,r8_app_shrink_obfuscate_ec_lambdas,r8_app_shrink_obfuscate_nec_lambdas,r8_app_shrink_obfuscate_lambda_groups,r8_app_shrink_obfuscate_method_count,r8_app_shrink_obfuscate_total_lambda_size,r8_app_shrink_obfuscate_total_ec_lambda_size,r8_app_shrink_obfuscate_total_nec_lambda_size,r8_app_shrink_obfuscate_total_lambda_group_size,r8_app_shrink_obfuscate_merged_lambdas,r8_app_shrink_optimize_obfuscate_dir_size,r8_app_shrink_optimize_obfuscate_dir_lambdas,r8_app_shrink_optimize_obfuscate_dir_ec_lambdas,r8_app_shrink_optimize_obfuscate_dir_nec_lambdas,r8_app_shrink_optimize_obfuscate_dir_lambda_groups,r8_app_shrink_optimize_obfuscate_dir_method_count,r8_app_shrink_optimize_obfuscate_dir_total_lambda_size,r8_app_shrink_optimize_obfuscate_dir_total_ec_lambda_size,r8_app_shrink_optimize_obfuscate_dir_total_nec_lambda_size,r8_app_shrink_optimize_obfuscate_dir_total_lambda_group_size,r8_app_shrink_optimize_obfuscate_dir_merged_lambdas,r8_app_shrink_optimize_obfuscate_size,r8_app_shrink_optimize_obfuscate_lambdas,r8_app_shrink_optimize_obfuscate_ec_lambdas,r8_app_shrink_optimize_obfuscate_nec_lambdas,r8_app_shrink_optimize_obfuscate_lambda_groups,r8_app_shrink_optimize_obfuscate_method_count,r8_app_shrink_optimize_obfuscate_total_lambda_size,r8_app_shrink_optimize_obfuscate_total_ec_lambda_size,r8_app_shrink_optimize_obfuscate_total_nec_lambda_size,r8_app_shrink_optimize_obfuscate_total_lambda_group_size,r8_app_shrink_optimize_obfuscate_merged_lambdas
kerminal,38905469,2459,737,1722,0,64938,6745417,1497132,5248285,0,0,33626042,213,22,94,97,58898,1642821,45110,325547,1272164,2339,20229985,1307,449,858,0,37968,3079635,802856,2276779,0,0,16109741,2459,737,1677,45,64938,2533539,554564,1940978,37997,90,18138789,245,34,138,73,34873,1101862,63716,343646,694500,1131,14606757,213,22,48,143,58898,1084621,22741,100238,961642,2436,18121607,1299,444,855,0,32863,2808953,714622,2094331,0,0,9684421,1307,449,813,45,37968,1316941,362052,917413,37476,90,16274584,245,34,138,73,30922,1052632,61947,326091,664594,1131,16245338,244,34,138,72,30899,1054947,61947,325280,667720,1121,9012804,245,34,92,119,34873,674633,31331,115824,527478,1228,8826030,1299,444,804,51,32863,1203120,321467,824166,57487,154,8236961,245,34,92,119,30922,635087,30701,111644,492742,1228,8235268,244,34,92,118,30899,641690,30701,111638,499351,1218,5261015,1274,429,845,0,36238,999035,277484,721551,0,0,13673999,1276,431,845,0,36096,2230062,609390,1620672,0,0,10121829,2459,737,1722,0,65431,2114337,520993,1593344,0,0,22510873,2459,737,1537,185,65349,4124558,975450,2885636,263472,370,3173256,620,130,280,210,24690,352877,59321,190957,102599,0,11257507,1099,337,762,0,26309,1698727,381277,1317450,0,0,2787376,1274,429,845,0,36240,514639,156545,358094,0,0,8884857,1276,431,697,148,36098,1355523,413350,776789,165384,296,1895051,618,129,489,0,24601,210415,36732,173683,0,0,7601059,1099,337,703,59,26311,1071114,273486,704983,92645,165
demo,29027879,2134,605,1529,0,47513,5978131,1280446,4697685,0,0,24265778,121,22,42,57,42283,1359203,57119,245189,1056895,2072,14214505,1466,452,1014,0,26424,3703448,835625,2867823,0,0,10695813,2134,605,1518,11,47513,2047669,447112,1591212,9345,22,11365843,104,21,35,48,22799,994691,48236,164865,781590,1412,9440264,121,22,31,68,42283,825366,26547,83108,715711,2074,12355727,1457,443,1014,0,22383,3394082,737978,2656104,0,0,6286729,1466,452,1003,11,26424,1426898,353967,1063592,9339,22,9770224,104,21,35,48,20172,923546,42795,144848,735903,1412,9742223,103,21,35,47,20156,926565,42252,140513,743800,1401,5440090,104,21,24,59,22799,605484,25819,57820,521845,1424,5678965,1457,443,998,16,22383,1319443,317727,979048,22668,96,4890085,104,21,24,59,20172,554168,24405,52901,476862,1424,4898334,103,21,24,58,20156,564499,24405,52901,487193,1413,2686639,1465,452,1013,0,26198,751640,199354,552286,0,0,9294000,1465,452,1013,0,26165,2365859,577124,1788735,0,0,5533361,2134,605,1529,0,47870,1347734,336003,1011731,0,0,14517043,2134,605,1350,179,47825,3148396,736582,2225245,186569,358,1790337,679,129,305,245,17561,362389,45781,189988,126620,0,8148684,1357,429,928,0,19288,2192891,517494,1675397,0,0,1463457,1465,452,1013,0,26198,377098,108197,268901,0,0,6173458,1465,452,866,147,26165,1434266,389117,944220,100929,294,1033820,679,129,550,0,17565,184304,27244,157060,0,0,5549766,1357,429,911,17,19288,1351020,358036,971626,21358,95
issuesviewer,31572060,1900,544,1356,0,53215,5325295,1118599,4206696,0,0,27421764,141,17,65,59,48620,1240251,33347,243446,963458,1820,12917027,927,307,620,0,26075,2171293,542823,1628470,0,0,11866643,1900,544,1311,45,53215,1796732,378552,1381208,36972,90,11310963,118,16,58,44,23802,656229,26076,137637,492516,853,10797909,141,17,20,104,48620,760145,17087,56747,686311,1891,11128688,871,262,609,0,22250,1875279,400334,1474945,0,0,5949073,927,307,575,45,26075,841964,232160,572902,36902,90,9858517,117,16,58,43,21104,619756,25493,127722,466541,851,9770580,118,17,58,43,20952,599181,26820,126380,445981,796,5494866,118,16,13,89,23802,403186,16364,24047,362775,938,5342598,871,262,563,46,22250,726104,170308,517453,38343,93,5003990,117,16,13,88,21104,374950,16076,22050,336824,936,4968370,118,17,13,88,20952,364816,16705,22050,326061,881,2366809,871,265,606,0,24284,430646,114308,316338,0,0,8015764,871,265,606,0,24247,1289907,306606,983301,0,0,6072872,1900,544,1356,0,53603,1215122,302234,912888,0,0,16118494,1900,544,1213,143,53540,2792555,641619,1992959,157977,286,1656400,442,61,223,158,17298,217026,21701,119884,75441,0,6979243,793,249,544,0,18236,1177620,277962,899658,0,0,1350857,871,265,606,0,24284,222568,62584,159984,0,0,5674184,871,265,501,105,24247,805234,212072,506581,86581,210,1016776,442,61,381,0,17299,119650,13821,105829,0,0,5103215,793,249,497,47,18236,751657,197481,506825,47351,104
snake2,23955713,1429,378,1051,0,38982,4105927,730664,3375263,0,0,21000728,178,9,118,51,35636,1248474,16603,546337,685534,1304,5650611,372,143,229,0,12744,763589,209149,554440,0,0,8311698,1429,378,1045,6,38982,1243629,225451,1013521,4657,12,5070127,58,9,14,35,11815,236402,13622,27618,195162,349,7666085,178,9,112,57,35636,611579,8751,173937,428891,1172,4758507,358,135,223,0,10971,673692,177963,495729,0,0,2511797,372,143,223,6,12744,275889,85275,185957,4657,12,4276478,54,9,14,31,10409,217208,13269,25984,177955,338,4268927,54,9,14,31,10398,218911,13269,25984,179658,335,2373474,58,9,8,41,11815,141282,8742,6490,126050,319,2222104,358,135,216,7,10971,242701,72614,164197,5890,16,2103593,54,9,8,37,10409,125074,8503,5915,110656,308,2103251,54,9,8,37,10398,127563,8503,5911,113149,305,1126322,356,136,220,0,12174,167818,56689,111129,0,0,3531050,356,136,220,0,12144,468619,142499,326120,0,0,4534832,1429,378,1051,0,39310,902896,200476,702420,0,0,11721807,1429,378,1022,29,39276,2076678,414245,1633233,29200,58,771583,174,21,78,75,8721,81493,7262,38182,36049,0,2962971,319,127,192,0,9117,414881,124189,290692,0,0,657875,356,136,220,0,12174,86734,31185,55549,0,0,2521765,356,136,210,10,12144,301092,100734,192592,7766,20,486126,174,21,153,0,8721,44092,5013,39079,0,0,2195808,319,127,186,6,9117,274224,91555,177093,5576,12
asteroids,24382114,1431,378,1053,0,40483,4125252,753066,3372186,0,0,21426692,180,10,120,50,37150,1266798,17957,572083,676758,1294,5649322,361,140,221,0,12817,774283,219024,555259,0,0,8495326,1431,378,1047,6,40483,1250080,234532,1010891,4657,12,5097000,60,9,19,32,11925,265178,13622,71939,179617,324,7855978,180,10,113,57,37150,623994,9220,174831,439943,1170,4704423,340,131,209,0,10974,652335,183613,468722,0,0,2510154,361,140,215,6,12817,281823,90494,186672,4657,12,4268318,54,9,17,28,10477,227629,13253,52046,162330,313,4247549,54,9,18,27,10431,226706,13253,57829,155624,304,2381373,60,9,12,39,11925,156491,8742,14214,133535,307,2200044,340,131,203,6,10974,237686,75407,157689,4590,12,2097180,54,9,10,35,10477,129281,8503,10655,110123,296,2089727,54,9,11,34,10431,130715,8503,11177,111035,288,1113940,340,133,207,0,12189,158039,55257,102782,0,0,3506654,340,133,207,0,12159,456443,147825,308618,0,0,4613012,1431,378,1053,0,40815,902856,200674,702182,0,0,11946654,1431,378,1024,29,40781,2083149,422885,1631064,29200,58,763040,156,21,67,68,8732,72870,7252,33493,32125,0,2941575,303,128,175,0,9147,403942,135496,268446,0,0,653115,340,133,207,0,12189,82461,30311,52150,0,0,2504240,340,133,198,9,12159,292812,102286,183299,7227,18,482356,156,21,135,0,8732,39929,4995,34934,0,0,2178519,303,128,169,6,9147,265373,96105,163700,5568,12
imageviewer,35487467,2189,673,1516,0,57892,5884435,1310846,4573589,0,0,30843752,172,21,72,79,52508,1359380,39704,257911,1061765,2098,11131864,820,283,537,0,23502,1836928,475469,1361459,0,0,12544162,2189,673,1471,45,57892,1860713,420117,1403624,36972,90,9796808,126,18,59,49,21522,591741,29129,136524,426088,743,11449354,172,21,27,124,52508,790930,19161,57264,714505,2168,9354413,761,236,525,0,19806,1551434,330806,1220628,0,0,4937301,820,283,492,45,23502,676511,192901,446708,36902,90,8339539,124,18,59,47,18819,552290,28164,126754,397372,739,8262068,123,18,59,46,18696,528606,28164,125041,375401,682,4592467,126,18,14,94,21522,340820,17697,21490,301633,828,4361425,761,236,477,48,19806,569749,133082,395003,41664,100,4113591,124,18,14,92,18819,311532,17291,19565,274676,824,4084738,123,18,14,91,18696,300400,17291,19565,263544,767,2383150,824,259,565,0,24770,384100,106404,277696,0,0,7950470,824,259,565,0,24745,1147443,275619,871824,0,0,6921653,2189,673,1516,0,58304,1353728,360293,993435,0,0,17792422,2189,673,1362,154,58254,3112498,756193,2189947,166358,308,1681511,459,91,209,159,17489,208035,32181,103903,71951,0,6864649,747,241,506,0,18373,1053538,244993,808545,0,0,1393777,824,259,565,0,24770,207063,60323,146740,0,0,5627020,824,259,467,98,24745,736935,197888,457813,81234,196,1043582,459,91,368,0,17492,119091,19865,99226,0,0,4988105,747,241,460,46,18373,688125,180404,461338,46383,97
ui,22005631,1476,396,1080,0,36292,4284616,838875,3445741,0,0,19197416,219,3,165,51,32968,1502152,5193,853168,643791,1283,5238534,427,171,256,0,11519,964752,334372,630380,0,0,7774613,1476,396,1080,0,36292,1360410,274164,1086246,0,0,4545641,51,4,17,30,10415,310952,5396,107367,198189,381,7141144,219,3,173,43,32968,738290,2342,295351,440597,212,4347996,410,164,246,0,9848,817061,278546,538515,0,0,2290418,427,171,256,0,11519,355715,141211,214504,0,0,3776811,46,4,15,27,9170,263630,5159,75859,182612,372,3779829,46,4,15,27,9160,283065,5159,98592,179314,366,2122917,51,4,23,24,10415,192153,2715,29959,159479,72,1991018,410,164,246,0,9848,300672,114910,185762,0,0,1849114,46,4,21,21,9170,156983,2557,25734,128692,72,1866029,46,4,22,20,9160,179420,2557,27365,149498,70,1033368,412,166,246,0,11027,189641,68805,120836,0,0,3241198,412,166,246,0,11000,564875,204097,360778,0,0,4067136,1476,396,1080,0,36611,901699,207239,694460,0,0,10653586,1476,396,1080,0,36580,2143058,451757,1691301,0,0,684784,194,37,80,77,7641,87134,11869,40420,34845,0,2700721,370,152,218,0,8166,496908,176742,320166,0,0,571788,0,0,0,0,11027,0,0,0,0,0,2237503,0,0,0,0,11000,0,0,0,0,0,410782,0,0,0,0,7642,0,0,0,0,0,1934364,0,0,0,0,8166,0,0,0,0,0
snake,25098750,1626,452,1174,0,42120,4576903,915177,3661726,0,0,21447817,89,14,25,50,38154,1025120,24817,148457,851846,1582,5759088,390,161,229,0,13212,859991,281504,578487,0,0,8813633,1626,452,1166,8,42120,1433273,295390,1131883,6000,16,5133770,55,13,13,29,12236,282088,18086,44587,219415,357,7973988,89,14,16,59,38154,610889,12837,39926,558126,1444,4726423,344,119,225,0,11050,679412,158496,520916,0,0,2570494,390,161,221,8,13212,321507,118529,196980,5998,16,4255823,51,13,13,25,10538,237804,17744,38419,181641,313,4258201,51,13,13,25,10546,241741,17744,39860,184137,311,2415814,55,13,4,38,12236,171384,12117,6037,153230,348,2216855,344,119,216,9,11050,250792,67300,176228,7264,19,2099489,51,13,4,34,10538,136731,11870,5579,119282,304,2104509,51,13,4,34,10546,141814,11870,5579,124365,302,1126746,340,121,219,0,12311,160691,50709,109982,0,0,3537826,340,121,219,0,12229,470495,128557,341938,0,0,4754523,1626,452,1174,0,42518,1022828,241128,781700,0,0,12502557,1626,452,1113,61,42422,2389388,522935,1798033,68420,122,810404,177,22,84,71,9021,83439,7846,44787,30806,0,3047334,325,122,203,0,9345,450132,120724,329408,0,0,675494,340,121,219,0,12311,83728,28404,55324,0,0,2558743,340,121,200,19,12229,303254,93060,192801,17393,38,518680,177,22,155,0,9021,45210,5593,39617,0,0,2280960,325,122,195,8,9345,299088,89730,202107,7251,16
calculator,22277364,1379,350,1029,0,36274,4080770,730849,3349921,0,0,19602877,215,3,163,49,33223,1428815,5277,802645,620893,1213,5606124,402,154,248,0,12478,837772,255359,582413,0,0,8237466,1379,350,1029,0,36274,1247464,215023,1032441,0,0,4984682,55,3,19,33,11447,252675,4358,56190,192127,380,7649869,215,3,172,40,33223,672432,2364,293965,376103,214,4739286,397,152,245,0,10719,749532,225979,523553,0,0,2539711,402,154,248,0,12478,297994,98128,199866,0,0,4199893,55,3,19,33,10069,236420,4161,50627,181632,380,4193837,55,3,19,33,10065,237858,4161,49504,184193,375,2383133,55,3,28,24,11447,145662,2357,35538,107767,75,2257498,397,152,245,0,10719,269603,86839,182764,0,0,2119293,55,3,28,24,10069,134121,2240,32723,99158,75,2120653,55,3,28,24,10065,137025,2240,32935,101850,74,1109214,398,153,245,0,12174,184596,64868,119728,0,0,3604291,398,153,245,0,12158,529184,176440,352744,0,0,4157380,1379,350,1029,0,36575,929277,207296,721981,0,0,10989263,1379,350,1029,0,36556,2071271,415253,1656018,0,0,732914,184,25,78,81,8289,84139,8537,39364,36238,0,2957735,336,119,217,0,8687,435752,130952,304800,0,0,608364,0,0,0,0,12174,0,0,0,0,0,2526869,0,0,0,0,12158,0,0,0,0,0,431474,0,0,0,0,8288,0,0,0,0,0,2148932,0,0,0,0,8687,0,0,0,0,0
arcade,25998559,1718,467,1251,0,42595,4950558,967509,3983049,0,0,22057748,104,14,26,64,38439,1120764,24817,141050,954897,1680,8946222,747,244,503,0,17813,1839630,427808,1411822,0,0,9037529,1718,467,1243,8,42595,1527994,309613,1212381,6000,16,7554447,81,14,15,52,16000,528481,19214,44445,464822,720,8157804,104,14,18,72,38439,666211,12837,41965,611409,1515,7552956,699,204,495,0,14946,1558209,294092,1264117,0,0,3801896,747,244,495,8,17813,662250,173404,482848,5998,16,6464037,80,14,15,51,14071,489908,18754,39834,431320,718,6390567,80,14,15,51,13951,466889,18754,38174,409961,672,3457480,81,14,7,60,16000,326086,12525,11754,301807,666,3335721,699,204,485,10,14946,555668,118241,428780,8647,23,3080772,80,14,7,59,14071,291996,12221,10632,269143,664,3053556,80,14,7,59,13951,280391,12221,10632,257538,620,1711010,699,205,494,0,17121,345470,87286,258184,0,0,5640431,699,205,494,0,17042,1081113,229387,851726,0,0,4916571,1718,467,1251,0,42993,1088054,250227,837827,0,0,12894489,1718,467,1187,64,42903,2547166,547183,1931674,68309,128,1182359,357,37,181,139,11893,176200,13229,96648,66323,0,4872386,651,203,448,0,12639,1000110,214883,785227,0,0,951595,699,205,494,0,17121,175881,47735,128146,0,0,3843934,699,205,462,32,17042,664001,159385,479433,25183,64,697062,357,37,320,0,11895,94389,8796,85593,0,0,3420640,651,203,440,8,12639,630700,153821,469613,7266,16
